business_vintage_months,industry_type,avg_monthly_gst_turnover,avg_monthly_bank_balance,num_cheque_bounces_last_6mo
19,Manufacturing,238210.75312676196,164224.58929472585,3
100,Service,193821.89460399473,166018.4282146371,3
53,Service,523629.9620848241,119415.01694335107,3
20,Retail,438447.2438180387,3191.8984950421727,3
77,Retail,295779.8605687957,105725.4556706076,1
83,Service,493143.91511270567,158094.4093120128,1
92,Service,289813.6605634343,184430.40268450152,3
67,Retail,372441.0471433529,146035.16712357767,3
45,Manufacturing,301017.19017227204,126050.69764621923,0
90,Service,339780.5451750471,264660.5502849662,1
85,Service,329176.1442533547,131375.69392473227,0
114,Service,257501.46266233505,180611.63433955528,0
87,Service,409249.85380853526,83247.3952286552,4
116,Retail,371595.2417683901,95491.60753955165,2
58,Retail,402769.45935014787,182366.28057311123,1
29,Retail,332022.7185499346,202228.06378926855,3
31,Retail,209343.0118222866,130514.1554903298,3
94,Service,470938.6066557702,57568.21541847396,2
65,Service,273744.37664325745,141622.13302993873,1
114,Retail,336406.70285684144,159470.29503897807,3
46,Service,363538.13588222687,154940.9019464412,3
34,Retail,335742.17162176187,121830.51675194973,4
20,Manufacturing,391541.7021230274,142355.7940369531,0
50,Manufacturing,407337.79223164986,112511.1577857947,3
70,Retail,277516.64969527523,94408.088813157,1
94,Service,462546.7341955647,187783.42603234024,2
76,Retail,273309.6445838735,154889.91567013552,4
14,Service,333674.9048880788,142465.8220688835,1
93,Service,261232.18163957685,124642.61286139193,4
6,Retail,232652.64773492096,140991.322173246,0
113,Service,404419.1088790865,158015.82143934982,3
13,Retail,612189.6897426045,236434.0787907153,1
93,Retail,263824.0111679683,182726.8424913572,2
68,Service,421532.1574678079,116684.5439025457,0
16,Retail,267408.8687299806,117211.81286471545,0
86,Service,298951.5023143996,109415.94498377023,4
13,Service,475758.3772231672,139973.9734373513,0
40,Manufacturing,192646.47149246943,109377.42748795578,1
40,Retail,166184.0931376877,173741.18724948127,4
38,Service,291280.13512368506,17824.187210097356,0
10,Service,366365.60279376747,176758.4154637372,2
111,Retail,346366.6571680882,163768.87439027152,1
108,Manufacturing,336067.9175692996,213137.12415738197,2
46,Service,303413.19815115776,193839.47772769764,2
33,Service,378654.0026983919,115815.11073729733,4
12,Service,8632.755795502802,188214.90404692537,3
78,Manufacturing,224919.4694912259,141596.62613928496,4
77,Manufacturing,290638.7590716552,53284.66212778649,1
17,Service,370453.4799102509,157941.59698644458,1
39,Service,448976.5140068566,118787.32897146526,4
38,Retail,211490.02918328598,150011.07581985,3
53,Retail,445707.86255365674,232572.4915137622,4
28,Service,254743.83307986372,161239.3451366079,1
67,Retail,287009.0217019314,99133.2574405002,3
93,Service,358143.25187976134,198220.75028081017,1
42,Retail,279676.3920693227,168127.12850682193,3
104,Retail,411011.76066663174,93241.90854840458,3
49,Service,259539.58548868564,69688.1116262672,4
109,Manufacturing,261046.5008719666,101133.12203906396,4
91,Retail,405197.99542093324,191815.0900335861,4
96,Service,223687.5611732342,134919.8933178477,3
40,Manufacturing,324892.909531666,154057.12594777055,3
70,Retail,133951.7332306176,83073.51646119157,1
104,Manufacturing,481963.93520611903,193160.94895087118,2
106,Retail,420655.1936236775,49240.816782113136,4
52,Retail,575010.7199580756,117231.12419661575,1
83,Manufacturing,433836.37314463855,170923.19295568968,1
8,Retail,187034.97703995183,93868.42774803273,0
6,Service,366864.9860160592,180706.46397252215,4
10,Manufacturing,208199.12377781956,106540.30107241988,1
95,Retail,457803.75070530985,88696.47035918466,0
19,Service,189885.97120224277,214324.10323222372,4
108,Manufacturing,185084.51157602022,157696.50965495026,3
32,Retail,139018.85463033133,175951.80390248133,0
14,Manufacturing,251162.01787369986,200910.47922763485,3
84,Service,231052.21752164286,19035.0525249535,2
20,Service,173835.08941607346,181739.13199851598,2
95,Service,498980.9104243524,111948.74077528264,2
47,Retail,352988.0696386645,118536.36046130428,2
82,Manufacturing,341223.45398567116,171872.05388327932,1
56,Manufacturing,458916.44192479266,131847.96132952737,2
68,Service,325625.77920429345,179726.053772826,1
101,Service,225131.97984948603,147957.8516241959,1
108,Service,129979.02574823433,158410.45073420284,4
118,Service,219494.26076565962,125488.92039923553,1
57,Service,450541.56005084625,96753.33554209309,1
101,Service,174466.388431384,112984.12146262475,2
9,Service,335312.7237997877,144858.7934760028,1
99,Service,403392.51430855575,241861.91963872695,3
106,Service,328534.4840443252,223595.3199556771,2
28,Retail,339898.3328790583,117335.20110703027,0
108,Retail,365560.39128734265,153012.88386662377,2
114,Service,337928.08718226495,135613.8513026976,1
20,Service,460907.4172473282,156513.3309434512,3
48,Service,195970.82717723894,162945.6373771388,2
34,Service,324042.4876838786,176375.75078778007,3
41,Service,118175.95660028522,4943.060909129563,0
18,Service,92625.38128134629,168324.933294347,0
37,Retail,291832.8969148016,130053.94853916764,4
76,Service,354337.9568944757,114753.10428841981,4
64,Service,463066.7777237565,189712.83390810352,2
91,Manufacturing,541979.1733010462,223341.22082023844,4
33,Service,431986.06706654804,184450.15720207035,3
71,Retail,372716.57443980285,124072.41963944527,4
47,Retail,315996.48557738157,96199.71749305447,3
50,Retail,146877.19368166226,-312.2214054840151,4
67,Service,285396.33942582016,159125.79982906778,4
62,Retail,429037.6751258226,178950.80538972182,4
11,Service,389828.18560280406,144906.8244950985,1
33,Service,171366.58533170517,196687.3104418996,1
33,Retail,361402.56472584803,83990.48820837538,4
113,Service,352839.28118677204,141438.05217724756,3
49,Retail,334989.01201147377,137484.9520206055,2
89,Service,297214.4444622666,144494.56578719668,0
35,Retail,366558.3966944193,208396.58314769538,1
67,Manufacturing,369731.30389123986,144757.88879506188,4
80,Retail,235854.12345685947,135260.37746137351,0
97,Manufacturing,345501.40613820957,103165.32600947344,1
94,Service,281060.4859252786,216428.97357107297,2
108,Manufacturing,151276.61322537568,78440.18887106863,3
67,Service,243839.2964961836,122350.02835762937,4
102,Service,143631.0314654575,234696.85335487465,2
6,Service,398009.3535070105,173412.16490357672,1
32,Service,335588.9377554319,148991.1674149365,4
67,Service,264450.9388794055,151084.60277631422,0
82,Service,442052.13432886486,102681.10063210911,3
110,Service,306799.0907581167,146573.63775712377,1
8,Retail,156877.72440331255,132506.70805021035,3
108,Retail,256052.1459816189,158981.4299727502,4
75,Service,463285.41872732923,74687.93071868457,2
77,Service,233052.43749108567,169892.60038846597,3
32,Service,327522.128875783,200831.48374431545,0
14,Service,374387.66245146387,139808.84374397132,1
67,Manufacturing,358994.84845549427,182354.91966529036,0
42,Retail,544945.97989581,165517.31374222887,3
102,Retail,182369.67430767312,119612.9929916972,2
56,Retail,192353.69194671971,97073.71567714425,2
111,Service,184024.55528978672,104080.57556396707,0
49,Manufacturing,270408.1578983115,164644.62845773576,4
29,Retail,409937.7388182451,147192.74340073977,4
84,Service,196826.5420203489,213754.6510940849,2
64,Service,411336.05059439386,189543.5056101947,0
37,Service,303512.6669927737,189439.24915636505,0
101,Service,189100.33067890763,163154.0400856111,0
93,Retail,124863.00434321436,101890.05253391678,3
110,Service,147242.9506190674,166266.96479874957,4
57,Service,233414.6591766076,153192.65825141114,4
118,Retail,283084.88242566795,93080.93057221262,3
67,Service,434606.29767304513,210497.4629279356,1
118,Retail,379908.8212188239,205114.4687464576,3
63,Service,216105.87479196978,92792.54277914698,0
57,Service,340866.5283372168,118110.25474417358,3
17,Service,465154.62691922404,122502.48902797617,0
44,Service,487391.74210300355,180492.57718998077,2
7,Retail,268559.39884464035,174736.2590226998,0
8,Service,395828.8429705002,152220.36063931783,4
118,Retail,438995.5366887824,163692.86401995627,3
106,Retail,149292.80768216128,85618.39017772333,0
118,Manufacturing,248759.2912840303,169068.06406792265,1
61,Retail,522001.8734423263,144955.7312226965,2
86,Service,269896.3889879096,116047.84087207052,1
64,Service,7104.863529890252,73374.68630348405,1
118,Retail,287903.8189613278,151348.0578093176,1
7,Retail,412462.5499115862,167847.9948108905,2
7,Retail,300651.0436800896,64875.90991467063,2
97,Manufacturing,371536.39468006336,150924.3035328215,2
59,Service,393822.1997655732,156111.9875924248,2
92,Retail,264506.2548567718,122288.52284261698,1
106,Service,248060.7013585624,168991.91011975872,4
101,Service,315344.0975954272,143366.879186134,4
102,Retail,317777.8922929881,164158.5502668182,2
6,Service,305407.6819846971,176712.3466437528,3
24,Service,309515.6522682464,176740.34530752618,0
7,Manufacturing,225145.3865379262,200841.0246723251,3
58,Retail,375028.6910080948,166916.259439229,3
49,Retail,359923.19471129664,126147.96296115896,3
95,Retail,166399.1633364542,117610.49776234015,4
37,Service,261083.76829140328,96834.56235656887,0
75,Retail,309307.9872539447,157558.9821556453,3
37,Service,246568.69977238256,216065.58573262615,2
73,Service,363737.1977587794,132077.36970064248,4
60,Service,293311.7461542862,172480.412385498,2
80,Service,316907.2529455187,112385.99977424197,2
61,Manufacturing,259929.06925169268,159740.24575803173,3
22,Service,100678.11765893851,212967.356403722,2
43,Service,94965.16784375504,184312.39866659712,0
29,Retail,358960.95466920274,71459.39834304215,2
74,Manufacturing,326691.2076489394,178534.74080177722,3
103,Retail,343866.2206351085,180811.2889396776,2
75,Retail,313447.2842062913,158674.34866135445,4
91,Retail,321456.74033735145,183376.10563511707,4
16,Service,396902.33736187883,108324.89801412309,4
117,Retail,344461.9372401412,153163.1577402043,1
21,Retail,404090.9350306113,205508.6970469051,4
102,Retail,317146.18412265973,200997.4741733184,4
78,Retail,269961.8259480229,177402.24870029854,1
64,Service,319420.2862156246,105850.23882495586,4
75,Service,216382.21185127032,97976.81146903607,3
85,Retail,262015.30710880912,155727.1837221677,4
98,Service,317757.1308640037,159038.711936292,4
8,Service,316431.8331901012,144981.41138613716,1
25,Retail,289358.1119997011,109760.75109016737,3
64,Retail,161181.52898257933,171848.05376951967,2
41,Manufacturing,363640.95464207145,155508.26743472708,0
24,Service,383422.84065995493,164491.21582752367,3
95,Retail,464369.0495252239,179671.6879812055,2
72,Service,344177.5996588731,136317.51061609937,3
24,Retail,300146.1834191483,125562.08113102817,2
25,Service,198697.04903898502,205378.26616543115,2
101,Retail,449201.7869361056,112132.07567349159,3
76,Retail,324783.29768740234,126541.29002689962,1
57,Retail,319337.3173825457,211712.39077137367,3
110,Manufacturing,274594.3801821148,122648.787449517,3
38,Service,268203.0433565138,145069.117817972,2
45,Retail,368826.67340508464,129401.5065443486,0
44,Retail,197855.9377341408,60838.925935810126,2
87,Service,462543.18591587804,143834.61739976017,4
109,Retail,440752.6457538372,99468.9118210726,3
6,Retail,264593.84531329107,162729.02163217805,3
16,Manufacturing,213613.54341269576,205281.9255020556,1
97,Retail,98479.40116445857,39291.31334131726,2
62,Service,174858.61275157734,129654.15079998599,1
94,Manufacturing,372991.14928828744,172616.16164824905,3
55,Retail,331534.1858900654,40832.55407851112,2
28,Retail,349365.3565306088,216813.26802111155,2
36,Retail,115442.03646758385,168994.60184017417,4
99,Manufacturing,260418.4379897336,204160.64109659506,4
47,Manufacturing,436727.28062820825,121802.60684442855,0
104,Service,290397.25946806464,127833.96148619046,4
12,Retail,172770.5265376015,141953.18226004654,2
21,Service,288839.7669157099,256910.452377577,4
95,Manufacturing,222898.25816347502,215905.2680248533,0
117,Service,333367.90599453973,156617.38497543734,3
65,Manufacturing,302054.5378887715,162720.0885825392,4
118,Manufacturing,354329.6664082291,181745.19057924664,2
7,Service,178207.63732348874,269577.74104957294,3
6,Service,255128.34313349013,169135.98965285253,2
53,Retail,409043.4341399109,152297.9698059385,3
17,Retail,164571.99455645183,133070.0801692506,2
74,Service,199688.79839600215,161745.76237597206,4
42,Retail,319929.7309992064,120648.90908243954,4
37,Manufacturing,328672.98390837916,174804.61690384365,0
14,Manufacturing,251115.01572572303,78370.16851042294,3
110,Service,272156.711736115,136974.97052968337,0
104,Retail,353322.55615556415,186731.64273636683,1
24,Retail,384963.5001759868,168456.1827168677,4
53,Retail,193077.83347102406,126868.76899741741,3
85,Service,336431.952062795,138398.7744791681,0
8,Service,451201.6000005722,201766.73433461058,0
25,Manufacturing,288410.79386388673,89479.91519882894,1
29,Service,192016.0846211481,89770.31760443348,0
59,Manufacturing,187390.80911727838,103518.30239112515,2
38,Manufacturing,283926.2558688136,149466.10678666783,4
29,Retail,403584.73048676184,82163.09663719039,0
80,Manufacturing,295924.4150153379,197650.07963829907,0
118,Retail,318923.1979905928,103785.37705720673,1
77,Retail,200365.8317826196,161217.77788715647,2
41,Service,398311.76329765475,121046.34495402985,0
43,Retail,185434.14288346452,146725.1459580137,4
109,Service,249550.3515728367,69832.70451706283,4
89,Service,362991.4862046294,200065.81226049783,0
104,Service,96056.85016800681,101925.10008142996,2
117,Retail,317396.11496857076,96689.16394781487,4
94,Service,196092.64336082188,268950.45067010465,4
104,Service,301654.93989091134,177715.36554788038,2
30,Service,264794.43922880635,198120.82041415374,2
98,Service,510583.48253484885,172944.56981809495,0
23,Retail,260687.88108000936,127375.97200067992,3
115,Service,484265.13728833426,84657.50712724947,1
87,Retail,358695.2291183375,135058.98062871705,3
71,Service,219854.10292702715,101092.03277372188,3
59,Service,333081.09252597566,104094.24137827405,4
40,Service,269559.0253662188,70840.63355151516,2
85,Service,324215.7490741234,155723.79798977482,4
66,Manufacturing,228610.90125667333,228670.6073762923,1
46,Manufacturing,469017.7633345957,177906.83615132244,0
105,Manufacturing,392539.80907967244,144710.48060741439,1
38,Manufacturing,303178.1568161591,147971.40635949242,4
73,Retail,472911.47680695343,-2388.8656196798256,4
38,Retail,307427.9244082849,128808.22890503118,4
19,Service,409762.49648611643,78666.20523898305,4
26,Retail,303830.0587522424,156720.62639511382,3
53,Service,339388.7594810579,137001.2005665883,0
25,Retail,291856.1219057221,106534.77293962298,3
13,Service,309530.1353873937,155594.83522442996,4
12,Service,317053.18603879993,155163.95765034715,2
72,Service,233026.81675116063,225931.20197282138,3
22,Service,259893.13330769123,184320.8750223365,4
38,Manufacturing,278324.4983513828,160848.63950184363,4
53,Service,322971.10168022965,102624.27631743038,0
81,Manufacturing,296942.0980496533,96328.04404462558,1
64,Retail,417303.2533825707,179942.4003718304,3
91,Manufacturing,384711.8318979641,139996.5313779785,3
27,Service,280367.24439746275,162468.27955633038,3
115,Retail,438178.3897451939,198900.02620857797,4
35,Retail,487302.0623575457,74343.0612429095,0
43,Service,95617.37050778829,219851.76925144967,4
107,Retail,393229.0085066279,198469.08934744983,4
114,Retail,230701.5802668501,47277.98890061777,2
56,Service,380074.8021323299,267654.6224455489,0
59,Service,423823.7940646432,166068.8159540728,3
13,Service,212300.7405489448,126073.0849788523,1
32,Manufacturing,114767.29009842395,175953.11118024628,3
32,Service,383543.4088215865,101126.26815306321,4
103,Service,313540.24824836117,177306.41765967757,0
26,Retail,133156.1246097372,110325.17708323443,0
35,Service,552956.4505462822,251017.97677353004,0
102,Retail,362441.9412256552,153005.00969532004,2
33,Manufacturing,367010.00401251524,182491.15260364118,3
116,Manufacturing,436581.7752562049,110696.74501739306,2
69,Service,241917.6047153498,190824.8011946679,1
102,Retail,313045.4112088677,149370.9968248944,4
74,Manufacturing,168067.8086220237,79407.41458390276,2
66,Service,239205.15527148155,138061.86400558762,2
53,Retail,338566.00004692376,246555.5534431269,4
24,Retail,133471.5332867548,192948.8513021654,0
9,Service,236371.04543219187,131051.24655467532,4
40,Retail,207206.60400622792,56541.71194995326,3
69,Manufacturing,314209.2245620345,108375.44108846842,4
54,Service,357470.12616653484,79676.29979827693,0
22,Retail,374215.28043764574,57749.59967832509,4
49,Manufacturing,399881.6644778151,189279.55650826512,2
97,Retail,437211.6846572371,153119.36981900828,1
35,Service,360724.5453683406,239755.42241719703,2
98,Retail,488733.5898894415,100117.90506011856,1
51,Retail,311950.25212646823,149885.95326204348,4
11,Service,282667.8845749452,80291.28241265428,3
104,Service,360730.736336004,120256.33194168788,4
110,Service,278358.8825007411,138894.50190337072,0
42,Service,485256.47287750494,131267.30160941763,4
29,Service,413098.3473135212,152677.03153077504,1
98,Retail,375027.8144199514,198580.47816256934,2
118,Retail,313141.9344041351,193320.8792727277,3
51,Manufacturing,259252.2828585137,111533.27079543503,4
58,Service,370132.500456776,148482.29390681753,4
100,Service,187290.2548153041,189704.8187479722,2
104,Retail,453436.35334410204,201786.8253714753,3
65,Retail,282236.3294614627,116942.16576729238,4
102,Service,330510.6733240729,185408.222740012,4
68,Manufacturing,209039.8923806711,166557.32545938506,1
90,Service,372298.6263119221,96700.54432305356,1
37,Manufacturing,254625.83871616714,190007.89812928677,0
92,Service,364922.87903050985,157577.16042162344,2
38,Retail,375739.3468977389,62930.4696836737,3
72,Service,235236.78864114595,135307.32196443152,4
23,Retail,187647.08790860052,151992.87707924863,4
30,Retail,453189.9916544545,119708.77605912031,0
111,Manufacturing,280770.0965970918,211411.42127492625,4
100,Service,322484.88160456385,213223.4245339053,2
59,Service,348546.4524646742,130875.49205435775,0
63,Retail,174629.98701017795,125388.72393231289,2
72,Retail,346266.6136819888,143438.26633153396,0
109,Retail,309912.6536154637,139995.97170966596,4
51,Retail,235646.93022956088,120374.90530990386,0
29,Service,184346.40151622708,-35439.83046616457,1
119,Retail,360588.55479572696,237740.59377998073,3
37,Service,412771.2008194879,150020.8981889071,4
52,Retail,317859.0517392803,141084.49440354618,3
91,Retail,156553.46581503132,166258.45650259755,4
28,Retail,194266.71828252697,145997.1125732955,3
71,Service,256787.62906759462,128484.20776772752,1
32,Service,456461.97411607497,99717.70068040253,3
111,Service,275324.93379011244,58069.36117521521,0
7,Service,253143.10772018,82281.05350228032,3
95,Service,132651.5200323885,94166.29666449263,4
22,Retail,234331.5209889889,182546.10790204845,2
109,Retail,176706.36460091698,186231.15733821972,3
38,Manufacturing,199682.01690772,105910.04477666144,3
14,Service,311995.06801587425,16817.292978130252,3
48,Retail,259883.57943888227,150456.0359750938,4
53,Manufacturing,469949.4452671346,128922.88921703407,3
44,Service,407800.33727074764,127686.87566499344,4
98,Retail,239111.60621896613,197796.87378821825,4
47,Service,208318.21582594851,156932.63127364262,2
31,Service,438264.1935664193,101181.01757399604,0
104,Service,466004.24894834834,89679.34830204753,4
55,Retail,80575.17564544678,136869.4321507522,1
30,Retail,309285.7623971701,104679.3618905179,3
29,Service,274812.16921032727,146380.11879861914,1
18,Service,364912.01400599367,201307.1022200983,3
65,Manufacturing,494266.8124161504,81010.87942002749,2
12,Service,251594.29806722017,154388.97174044844,4
62,Retail,93930.14853360859,195752.49913346948,0
41,Service,357900.7700149264,145690.63320909455,4
50,Retail,438996.40686042025,186079.04475588267,3
25,Service,269624.02184802253,135636.3753942269,0
70,Service,229496.2519860339,158541.40397118183,4
13,Retail,256274.05946223007,172039.24661710882,0
115,Service,385020.5367131235,121399.87808684327,3
21,Retail,254553.90587150195,249533.80085949996,2
19,Retail,332876.0300342845,178879.00901659607,2
81,Retail,302780.291573994,215149.27493584604,4
92,Retail,292462.0387577234,203551.1973180384,1
20,Manufacturing,370129.23267522326,166364.46346417058,3
97,Service,252142.01001358056,219289.47111799038,4
103,Retail,256941.3439817721,159395.73555959587,4
71,Service,379760.2849999754,113511.23584128186,2
37,Retail,201307.46758313474,150740.96157814816,0
92,Manufacturing,211977.98091776727,99691.65437924344,3
68,Service,173968.57086564065,44914.78359450989,0
91,Service,384901.0913276553,107372.88784704873,3
56,Retail,289476.30319187324,153644.07664854373,1
30,Service,168638.48539209337,203096.23927440407,2
63,Service,385380.85623090685,107224.03977118229,1
68,Manufacturing,244445.78384245644,200508.12267635774,4
67,Retail,212832.19211631146,89465.85070965614,2
27,Retail,280432.1441123048,104023.87669302749,4
63,Manufacturing,447872.36094678915,222457.83016982258,1
63,Service,260503.78035034297,152381.0509981248,3
91,Retail,357533.8864115585,141318.90273576783,4
54,Retail,372708.0020450954,161763.99949539136,0
57,Manufacturing,344327.3298006406,89679.83746409771,3
47,Retail,427107.1649674262,133457.59357130888,3
75,Service,229288.3995367721,150133.05790632757,1
20,Service,195666.51569496637,211569.04680897162,1
59,Retail,193703.3343975005,66479.14303492995,2
112,Service,285553.1584700207,238149.51576878852,2
65,Retail,205295.3342159471,143767.61308374786,0
106,Retail,314754.09118653287,94472.18755164955,3
102,Service,307698.8419724893,85418.26419328043,0
13,Manufacturing,401857.3303186041,163657.4658502103,0
58,Service,329114.430823604,82639.52599657372,1
65,Service,258384.81441385517,121993.82274534507,0
113,Retail,341084.92044326826,137504.8469561101,0
113,Retail,196980.59801020593,207183.7869702413,4
10,Retail,296185.93119756825,200922.67296319868,2
108,Retail,331940.12335955806,117850.38049405205,2
73,Retail,312931.7598150127,139365.8414889539,3
11,Retail,341506.5094935984,70230.75499121271,2
114,Retail,235595.3984287209,48045.224337814,3
101,Retail,415203.14028095163,88547.37762036902,4
99,Service,482216.8949395707,206154.8680662905,2
52,Manufacturing,139732.38551414057,189004.036111073,4
104,Retail,178440.20040457518,169171.8131298307,2
60,Manufacturing,304308.3008024386,77118.77566897115,2
45,Manufacturing,274344.9019447126,114417.02113044274,4
57,Retail,489641.2405772782,107108.94859106891,0
21,Service,321978.4323424461,141700.08146897188,0
18,Service,439254.52537259576,138547.3221683942,0
119,Service,95087.61135463999,99902.15716520857,0
111,Retail,381416.9483332352,167460.84039492716,2
35,Service,228448.31807416788,161447.31901021194,1
24,Retail,226845.74303803427,113558.84504535267,4
22,Service,275164.1973587876,165213.91958162657,1
68,Service,157541.6360268908,206214.26841652603,1
24,Service,344278.5525321852,221403.03885616228,3
97,Service,319071.4966716795,174533.10783049295,0
63,Service,326619.22481872706,173063.3971704678,2
60,Retail,388703.1022132906,137993.05429878444,0
95,Retail,451478.2046194154,201485.64477675795,0
106,Manufacturing,263628.8950912453,96482.42743301064,1
95,Retail,347735.06397364737,195692.50717040824,3
67,Retail,329298.8208334979,135619.76329095985,0
28,Retail,337761.45063289395,224546.84136008646,4
14,Retail,339259.76644659834,179410.32035200374,4
17,Manufacturing,459050.3344564839,146606.68844634498,0
6,Service,254032.31315107064,138175.61755478632,1
63,Manufacturing,147426.4096796318,176280.64272242185,1
6,Service,230212.62313841126,173856.21738430276,2
116,Service,375726.6933535405,130082.84977497361,3
39,Retail,302332.9508647177,154591.78791341733,1
101,Service,253240.0659505004,194819.50436743008,2
53,Retail,192350.27315903583,81832.18710598751,4
94,Manufacturing,322128.61217305326,186293.91102768565,4
109,Manufacturing,364450.6275273809,176060.7289179677,4
114,Retail,330587.20550960285,209332.3737780745,0
6,Manufacturing,274666.96688450535,114217.31493483811,3
21,Manufacturing,314664.12842974626,150285.80430464455,2
66,Service,314084.2966557415,160253.41880024478,3
108,Retail,318969.69312176626,186939.82586001177,0
69,Service,181569.504898088,171455.84645805001,2
68,Service,319732.6350614878,88022.24505938627,2
74,Retail,255940.35315338057,164552.2016430823,1
27,Retail,404061.86060097587,250211.43871352042,3
98,Service,313291.8641750274,180587.87879806577,3
72,Retail,383547.9221822892,231902.34722683,1
81,Service,269821.86129502475,202153.0688647406,4
31,Manufacturing,273428.6162388541,218120.09677192045,0
